Row #,Food,Glycemic Load,Diabetic Carb Choices,Serving Size grams,serving oz,Avail. Carb per serving,Reformat GI(Col C) for calculation
1,BAKERY PRODUCTS,,,,,,
2,Cakes,,,,,,
3,Angel food cake (Loblaw's; Toronto; Canada),19.4,1.9,50,1.76,29,67
4,Banana cake; made with sugar,17.9,2.5,80,2.82,38,47
5,Banana cake; made without sugar,16,1.9,80,2.82,29,55
6,Chocolate cake made from packet mix with chocolate frosting (Betty Crocker; General Mills Inc.; Minneapolis; MN; USA),19.8,3.5,111,3.91,52,38
13,Croissant (Food City; Toronto; Canada),17.4,1.7,57,2.01,26,67
14,Crumpet (Dempster's Corporate Foods Ltd.; Etobicoke; Canada),13.1,1.3,50,1.76,19,69
8,Cupcake; strawberry-iced (Squiggles; Farmland; Grocery Holdings; Tooronga; Vic; Australia),19,1.7,38,1.34,26,73
15,Doughnut; cake type (Loblaw's; Canada),17.5,1.5,47,1.66,23,76
16,Flan cake (Weston's Bakery; Toronto; Canada),31.2,3.2,70,2.47,48,65
9,Lamingtons (sponge dipped in chocolate and coconut) (Farmland; Grocery Holdings; Australia),25.2,1.9,50,1.76,29,87
10,Pound cake (Sara Lee Canada; Bramalea; Canada),15.1,1.9,53,1.87,28,54
11,Sponge cake; plain,16.6,2.4,63,2.22,36,46
12,Vanilla cake made from packet mix with vanilla frosting (Betty Crocker; USA),24.4,3.9,111,3.91,58,42
17,Muffins,,,,,,
18,Apple; made with sugar4,12.8,1.9,60,2.12,29,44
19,Apple; made without sugar4,9.1,1.3,60,2.12,19,48
20,Apple; oat; sultana; made from packet mix (Defiance Milling Co.; Acacia Ridge; Qld; Australia),14,1.7,50,1.76,26,54
21,Apricot; coconut and honey; made from packet mix (Defiance Milling Co.; Australia),15.6,1.7,50,1.76,26,60
22,Banana; oat and honey; made from packet mix (Defiance Milling Co.; Australia),16.9,1.7,50,1.76,26,65
23,Bran (Culinar Inc.; Grandma Martin's Muffins; Aurora; Canada),14.4,1.6,57,2.01,24,60
24,Blueberry (Culinar Inc.; Canada),17.1,1.9,57,2.01,29,59
25,Carrot (Culinar Inc.; Canada),19.8,2.1,57,2.01,32,62
26,Chocolate butterscotch; made from packet mix (Defiance Milling Co.; Australia),14.8,1.9,50,1.76,28,53
27,Corn muffin; low-amylose5,29.6,1.9,57,2.01,29,102
28,Corn muffin; high-amylose5,,,,,,49
29,Oatmeal; muffin; made from mix (Quaker Oats Co. of Canada; Peterborough; Canada),24.2,2.3,50,1.76,35,69
30,Pancakes; prepared from shake mix (Green's General Foods; Glendenning; NSW; Australia),38.9,3.9,80,2.82,58,67
31,Pancakes; buckwheat; gluten-free; made from packet mix (Orgran Natural Foods; Carrum Downs; Vic; Australia),22.4,1.5,77,2.72,22,102
32,Pastry,15.3,1.7,57,2.01,26,59
33,Pikelets; Golden brand (Tip Top Bakeries; Chatswood; NSW; Australia),17.9,1.4,40,1.41,21,85
34,Scones; plain; made from packet mix (Defiance Milling Co.; Australia),7.4,0.5,25,0.88,8,92
35,Waffles; Aunt Jemima (Quaker Oats Co. of Canada),9.9,0.9,35,1.23,13,76
37,BEVERAGES,,,,,,
38,Coca Cola ?,,,,,,
39,Coca Cola?; soft drink (Coca Cola Amatil; Sydney; NSW; Australia),13.8,1.7,250,8.82,26,53
40,Coca Cola?; soft drink/soda (Coca Cola Bottling Company; Atlanta; GA; USA),16.4,1.7,250,8.82,26,63
41,mean of two types,,,,,,58
42,Cordial; orange; reconstituted (Berri Ltd.; Berri; SA; Australia),13.2,1.3,250,8.82,20,66
43,Fanta?; orange soft drink (Coca Cola Amatil; Australia),23.1,2.3,250,8.82,34,68
